证券代码↑,证券简称,"所属申万行业名称
[行业级别] 一级行业","董事会人数
[交易日期] 2010-12-31","独立董事人数
[交易日期] 2010-12-31","非独立董事人数
[交易日期] 2010-12-31","公司监事(历任)
[交易日期] 2010-12-31","高管人数
[交易日期] 2010-12-31","支付给职工以及为职工支付的现金
[报告期] 2010年报
[报表类型] 合并报表
[单位] 元","管理层年度薪酬总额
[年度] 2010
[单位] 万元","资产总计
[报告期] 2010年报
[报表类型] 合并报表
[单位] 元","员工总数
[交易日期] 2010-12-31","净现金流
[报告期] 2010第四季度
[单位] 元","资产负债率
[报告期] 2010年报
[单位] %","营业收入(同比增长率)
[报告期] 2010年报
[单位] %","公司属性
[交易日期] 2010-12-31","大股东持股比例
[日期] 2010-12-31
[排名] 第1名
[单位] %"
000037.SZ,深南电A,公用事业,13,5,8,"周群,朱天发,陈丽红,王玮,李超,易耀平,王荻菲",9,"106,943,679.1300",716.2700,"5,278,954,349.9000",347,,63.3932,-14.2464,公众企业,17.6700
000038.SZ,深大通,传媒,7,3,4,"王立军,张国华,杨敬业",3,"2,828,568.5000",55.0000,"517,799,621.0800",54,,64.2323,173.7953,民营企业,38.7100
000039.SZ,中集集团,机械设备,8,3,5,"冯万广,吕世杰,黄倩如",11,"3,525,509,000.0000","2,058.3400","54,130,649,000.0000",63354,,64.5179,152.8304,中央国有企业,25.0000
000040.SZ,东旭蓝天,公用事业,12,4,8,"张育新,陈昌华,李联添,尤明天",14,"112,342,095.1300",992.8400,"2,283,416,351.0600",2956,,61.3091,11.5532,公众企业,19.8000
000042.SZ,中洲控股,房地产,9,3,6,"邓伟时,楼锡锋,熊军",7,"109,156,142.1600",689.5200,"6,789,912,512.6000",1260,,64.8746,-29.0771,地方国有企业,29.7500
000045.SZ,深纺织A,电子,9,3,6,"周美容,李炜,王军昭",8,"59,116,524.7300",526.7000,"1,655,422,298.4100",890,,18.6933,30.6774,地方国有企业,54.2700
000046.SZ,泛海控股,非银金融,14,5,9,"兰立鹏,卢志壮,余政,李强,赵英伟,何云燕",11,"204,876,975.8700","1,167.0400","22,345,892,750.9100",2450,,62.6553,-31.6882,民营企业,73.6700
000048.SZ,京基智农,农林牧渔,11,4,7,"刘健,郝耀聪,黄樯,何光明,陈俊雄",5,"77,160,306.0200",305.8000,"769,250,354.3900",1420,,106.3076,-19.0455,民营企业,26.3600
000049.SZ,德赛电池,电子,9,3,6,"夏志武,李猛飞,丁春平",4,"145,802,132.8800",285.7600,"850,322,005.6300",4193,,67.2747,43.6244,地方国有企业,48.6500
000050.SZ,深天马A,电子,9,3,6,"李刚,盛帆,罗祥典,陈宏良,赵军",9,"369,361,575.0000",612.9000,"7,971,514,291.0000",7474,,68.7552,57.6943,中央国有企业,45.6200
000055.SZ,方大集团,建筑装饰,7,3,4,"郑华,于国安,宋文清",5,"80,446,172.2300",350.6400,"1,991,161,158.8400",2289,,45.0407,27.2683,民营企业,9.0900
000056.SZ,皇庭国际,房地产,8,3,5,"张心亮,叶华,刘晓红",6,"17,577,001.2200",265.9100,"1,540,732,957.6500",290,,109.7388,-19.3090,民营企业,13.7000
000058.SZ,深赛格,商业贸易,9,3,6,"徐海松,赵兴学,田继梁,唐崇银,应华东",5,"50,401,323.9500",265.8700,"1,466,272,625.9200",404,,19.9613,35.4499,地方国有企业,30.2400
