证券代码↑,证券简称,"所属申万行业名称
[行业级别] 一级行业","董事会人数
[交易日期] 2010-12-31","独立董事人数
[交易日期] 2010-12-31","非独立董事人数
[交易日期] 2010-12-31","公司监事(历任)
[交易日期] 2010-12-31","高管人数
[交易日期] 2010-12-31","支付给职工以及为职工支付的现金
[报告期] 2010年报
[报表类型] 合并报表
[单位] 元","管理层年度薪酬总额
[年度] 2010
[单位] 万元","资产总计
[报告期] 2010年报
[报表类型] 合并报表
[单位] 元","员工总数
[交易日期] 2010-12-31","净现金流
[报告期] 2010第四季度
[单位] 元","资产负债率
[报告期] 2010年报
[单位] %","营业收入(同比增长率)
[报告期] 2010年报
[单位] %","公司属性
[交易日期] 2010-12-31","大股东持股比例
[日期] 2010-12-31
[排名] 第1名
[单位] %"
002436.SZ,兴森科技,电子,6,3,3,"王道纯,卢勇,伍晓慧",6,"128,812,042.8600",319.2000,"1,608,237,197.7000",2493,,13.2413,59.9994,民营企业,25.6700
002437.SZ,誉衡药业,医药生物,9,3,6,"白莉惠,程根强,郑绛青",5,"36,758,578.7400",117.9000,"2,194,470,048.2300",707,,3.3597,33.8473,民营企业,44.6300
002438.SZ,江苏神通,机械设备,6,0,6,"黄元忠,汤丹,陈永生",7,"38,436,618.4700",255.4000,"910,092,763.8800",522,,18.2763,5.3545,民营企业,22.5000
002439.SZ,启明星辰,计算机,11,4,7,"刘兴池,茆卫华,王海莹",5,"109,658,018.3400",336.5200,"1,182,968,323.4100",947,,15.9142,20.6580,民营企业,38.9900
002440.SZ,闰土股份,化工,9,3,6,"罗宜家,韩明娟,万晖",6,"120,274,786.1900",319.2200,"4,004,528,591.2900",3589,,7.6196,7.2435,民营企业,35.1800
002441.SZ,众业达,电气设备,9,3,6,"张颖,郑绍奕,李玉英",8,"68,027,405.2400",287.6000,"2,317,731,102.9100",1576,,26.9147,30.3973,民营企业,38.8700
002442.SZ,龙星化工,化工,9,3,6,"马维峰,周文杰,彭玉平",10,"25,155,133.6900",370.6100,"1,725,030,809.6200",582,,38.6002,37.7690,民营企业,50.3400
002443.SZ,金洲管道,钢铁,9,3,6,"沈永泉,沈百方,钱利雄,董国华,钱银华",4,"73,901,806.2700",128.4000,"1,875,120,469.6700",1596,,34.7783,10.7057,民营企业,40.8400
002444.SZ,巨星科技,机械设备,9,3,6,"王蓓蓓,余闻天,张芳",9,"164,033,477.6700",379.9200,"2,911,494,958.6600",3103,,9.2930,20.3413,民营企业,48.2200
002445.SZ,中南文化,传媒,5,2,3,"孔少华,王扣成,陈晓东",5,"20,231,714.6800",101.8100,"1,128,737,315.2600",412,,22.1993,-9.4690,民营企业,56.1000
002446.SZ,盛路通信,通信,7,3,4,"毛君山,王艺,雒建华",6,"45,077,626.1400",225.6300,"840,652,499.8800",788,,22.0289,4.3225,民营企业,25.8400
002447.SZ,*ST晨鑫,传媒,7,3,4,"吴忠馨,刘永辉,赵长松",5,"23,662,330.9900",131.9000,"850,362,591.3800",710,,16.4165,27.6891,民营企业,48.5100
002448.SZ,中原内配,汽车,11,4,7,"孙谦,薛建军,崔世菊",8,"128,841,587.1300",132.2000,"1,239,116,108.2200",2286,,28.1678,32.1141,民营企业,24.4000
002449.SZ,国星光电,电子,9,3,6,"黎颖华,蔡炬怡,李绪锋",8,"125,886,441.0500",324.0900,"2,304,898,808.5900",1890,,10.6752,39.7436,民营企业,14.0300
002451.SZ,摩恩电气,电气设备,7,3,4,"鲁学,李静,柏梅",6,"10,306,811.2600",135.3000,"798,799,349.0200",248,,22.2456,3.2803,民营企业,66.3900
002452.SZ,长高集团,电气设备,9,3,6,"陈益智,肖世威,陈志刚",6,"16,807,372.7200",98.0400,"1,147,878,204.8000",480,,14.6473,-22.6599,民营企业,24.3500
002453.SZ,华软科技,化工,9,3,6,"金百鸣,张兰,石福明",5,"40,451,346.5200",261.6000,"930,680,457.5700",836,,24.2326,57.2058,民营企业,48.6600
002454.SZ,松芝股份,汽车,9,3,6,"刘荫如,周仪,葛世昀",8,"72,247,423.4700",265.4400,"2,307,783,385.4200",1253,,22.7983,41.4216,外资企业,61.1900
002455.SZ,百川股份,化工,7,3,4,"汤洪良,程国良,徐卫",6,"18,317,723.3500",177.1500,"1,155,345,803.0700",419,,38.6044,48.5913,民营企业,39.6400
002456.SZ,欧菲光,电子,9,3,6,"尹爱珍,赵伟,刘琦",5,"119,971,395.8500",215.0500,"1,350,558,043.8800",4280,,28.3166,65.7757,民营企业,27.2700
002457.SZ,青龙管业,建筑材料,9,3,6,"梁国瑞,俞学文,肖京宁",8,"69,957,081.3700",139.6800,"1,819,193,425.6300",1809,,19.4220,16.8700,民营企业,20.0100
002458.SZ,益生股份,农林牧渔,9,3,6,"王元忠,姜泰邦,李芳",7,"56,577,490.0600",136.3400,"1,222,241,507.8100",1968,,27.5323,25.5869,民营企业,51.4600
002459.SZ,晶澳科技,电气设备,9,3,6,"杨振忠,张明铎,王向东",11,"79,107,292.6600",363.3700,"2,124,215,038.7500",1416,,37.5724,9.0326,民营企业,14.7700
002460.SZ,赣锋锂业,有色金属,9,3,6,"王倩,曹志昂,熊剑浪",8,"25,667,558.0200",239.2700,"776,498,121.9600",750,,7.4594,45.7189,民营企业,29.4400
002461.SZ,珠江啤酒,食品饮料,9,3,6,"王世基,何雄,李焰坤,Joao Henrique Guerra(葛嘉浩),张颖启",10,"356,277,212.6900",511.9000,"5,419,466,804.9900",5571,,41.1194,7.9586,地方国有企业,51.9400
002462.SZ,嘉事堂,医药生物,11,4,7,"翁先定,姜新波,荆翠娜,刘雪琴,马生良,崇殿兵,庞江宏,贺丽",6,"52,389,367.8700",259.9300,"1,427,174,452.0000",1148,,28.2012,18.3591,中央国有企业,17.4500
002463.SZ,沪电股份,电子,9,3,6,"陈惠芬,郭秀銮,宋波",6,"372,097,178.0000",218.5400,"4,010,616,849.0000",7101,,24.4456,31.1190,外资企业,27.4200
002464.SZ,*ST众应,传媒,9,3,6,"廖莹玲,张华盛,张志宏",5,"77,025,398.6200",341.3200,"795,426,646.6700",1437,,7.1874,28.7482,外资企业,66.6700
002465.SZ,海格通信,国防军工,11,4,7,"黄秀华,陈巾巾,余青松",9,"169,844,909.3900",842.7500,"4,728,006,766.9300",1509,,9.0938,1.7360,地方国有企业,18.2500
002466.SZ,天齐锂业,有色金属,7,3,4,"袁亮,赵本常,杨青",6,"24,003,068.6800",114.3800,"1,049,613,931.2400",1006,,9.1271,-3.5618,民营企业,63.7500
002467.SZ,二六三,通信,5,2,3,"孙文超,汪学思,郝培儒",6,"52,799,422.2700",565.3000,"1,140,233,602.2200",393,,8.0218,-3.2217,民营企业,20.7200
002468.SZ,申通快递,交通运输,9,3,6,"吴传铨,江雪云,夏涛",7,"81,644,757.2600",292.3200,"1,078,130,219.6400",2148,,26.1317,52.9017,外资企业,31.9000
002469.SZ,三维化学,建筑装饰,11,4,7,"谷元明,何智灵,郭福泉",6,"25,077,570.3900",283.2500,"801,265,964.5400",217,,12.0309,21.6334,民营企业,23.4700
002470.SZ,ST金正,化工,9,4,5,"杨艳,李广涛,郝爱玲",8,"144,697,316.5300",846.4800,"4,357,598,269.8500",4453,,37.5960,31.7398,民营企业,43.8200
002471.SZ,中超控股,电气设备,9,3,6,"蒋建良,盛海良,陈鸫,王雪琴,蒋丽隽",10,"33,266,487.7900",186.6000,"1,801,712,052.8100",851,,53.0298,38.2229,民营企业,66.3600
002472.SZ,双环传动,汽车,9,3,6,"李绍光,叶继明,董美珠,陈剑峰,陈绍速",7,"95,284,088.9000",304.1200,"1,496,350,433.2500",2391,,17.9976,59.2070,民营企业,10.2800
002473.SZ,*ST圣莱,家用电器,9,3,6,"叶雨注,杨青,张坤泉",4,"28,876,622.7900",259.2700,"475,619,864.9900",1053,,8.2331,50.5420,民营企业,38.2500
002474.SZ,榕基软件,计算机,9,3,6,"周仁锟,魏建光,邬海峰",6,"23,256,685.6200",137.9000,"1,225,686,254.3900",478,,4.6644,52.4583,民营企业,32.8000
002475.SZ,立讯精密,电子,7,3,4,"刘娜,易佩赞,王斌",6,"203,380,778.9700",289.6000,"2,045,640,496.0400",8368,,16.4542,72.8311,民营企业,66.7000
002476.SZ,宝莫股份,化工,9,3,6,"杜春丽,张世磊,史传军,吴传铨,任根华,王云鹤,刘世雅",5,"24,253,666.4400",209.0200,"922,410,277.0600",459,,6.4665,22.8756,民营企业,44.1700
002478.SZ,常宝股份,钢铁,9,3,6,"韩巧林,袁立平,王剑平",8,"89,529,298.2600",412.2400,"3,587,074,150.0700",764,,34.4423,32.7599,民营企业,28.4600
002479.SZ,富春环保,公用事业,9,3,6,"冯琦,林海,徐红军,王培元,王斐",6,"14,149,585.0400",108.0600,"1,966,117,349.4400",317,,7.1893,29.3273,民营企业,38.8800
002480.SZ,新筑股份,机械设备,9,3,6,"张宏鹰,江蔚波,周立新,郭旺,金之达",10,"122,524,015.1500",564.3200,"3,452,802,688.2900",4025,,45.8975,36.5030,民营企业,38.4100
002481.SZ,双塔食品,食品饮料,9,3,6,"王美荣,马菊萍,马殿云",7,"42,927,730.8500",65.5200,"865,025,996.7700",533,,13.3049,15.2413,地方国有企业,38.5300
002482.SZ,广田集团,建筑装饰,9,3,6,"周清,罗岸丰,赵波",15,"39,550,159.8700",515.4800,"3,559,479,035.0800",693,,29.3992,118.8630,民营企业,45.7500
002483.SZ,润邦股份,机械设备,9,3,6,"彭光玉,顾琪,戴益明",5,"124,421,498.8200",311.7200,"2,287,914,526.6100",1813,,20.2767,17.5855,民营企业,42.3800
002484.SZ,江海股份,电子,9,3,6,"宋国华,邵美娟,蔡志忠",10,"63,939,402.3400",101.9100,"1,486,459,744.2100",1597,,13.8091,32.1541,公众企业,37.5000
002485.SZ,雪松发展,纺织服装,9,4,5,"邬铁基,王新宏,王金刚",7,"207,750,545.2500",150.0000,"2,320,838,808.9400",4315,,19.8968,18.0067,民营企业,42.2100
002486.SZ,嘉麟杰,纺织服装,11,4,7,"孙芯,向仍源,曹军",7,"98,615,230.7500",253.5000,"1,067,418,034.7700",2033,,15.2074,40.1297,民营企业,22.5600
002487.SZ,大金重工,机械设备,7,3,4,"付海斌,王维民,黄升轩",7,"24,243,073.1800",137.2000,"1,518,236,482.4100",715,,7.1673,47.9659,民营企业,47.4100
002488.SZ,金固股份,汽车,9,3,6,"章剑飞,李富珍,孙煜帆",9,"45,368,896.0300",188.6700,"1,348,166,321.2600",1100,,35.1893,55.3332,民营企业,18.7500
002489.SZ,浙江永强,轻工制造,11,5,6,"罗帮仁,汤义君,毛红卫",5,"219,580,874.1700",374.7300,"4,150,384,103.3000",5444,,26.2695,39.9620,民营企业,40.5500
002490.SZ,山东墨龙,机械设备,9,3,6,"刘怀铎,刘万赋,樊仁意",7,"94,388,152.0200",343.1900,"4,586,410,815.1800",2731,,40.1885,30.2742,民营企业,35.0300
002491.SZ,通鼎互联,通信,9,3,6,"沈彩玲,陈斌,沈国良",6,"67,393,357.6100",306.9000,"1,983,998,182.1300",1634,,28.3391,40.3179,民营企业,52.2400
002492.SZ,恒基达鑫,交通运输,7,3,4,"陈彩媛,刘志贤,朱海花",7,"17,653,006.9100",178.4300,"1,077,988,219.0500",278,,28.9367,8.0939,民营企业,50.2500
002493.SZ,荣盛石化,化工,9,3,6,"李国庆,徐永明,李居兴",6,"138,205,339.7600",365.9900,"12,665,808,524.8100",3646,,42.8561,55.2949,民营企业,76.4400
002494.SZ,华斯股份,纺织服装,9,3,6,"吴振山,白少平,褚守庆,彭金召,何少存",8,"33,503,339.6600",122.3900,"896,127,707.6400",815,,4.4976,16.2962,民营企业,42.2900
002495.SZ,佳隆股份,食品饮料,9,3,6,"林长青,赖延河,李革胜",7,"13,279,291.4500",95.4000,"1,056,993,523.7800",416,,3.4865,15.5096,民营企业,21.6400
002496.SZ,ST辉丰,化工,9,3,6,"唐中义,卢宝玉,季自珍",5,"62,409,178.8600",347.0600,"1,862,800,938.7600",1622,,13.6311,14.9231,民营企业,53.9400
002497.SZ,雅化集团,化工,9,3,6,"何伟良,蒋德明,姚雅育",8,"127,485,546.0800",328.4100,"1,821,804,747.2700",2081,,7.5828,19.4706,民营企业,21.5100
002498.SZ,汉缆股份,电气设备,9,3,6,"张论业,扈学义,张作江",10,"83,052,292.7100",297.3300,"4,095,825,617.5300",1539,,19.1923,9.0538,民营企业,86.4900
002499.SZ,*ST科林,公用事业,9,3,6,"周和荣,石焕长,金建国",5,"29,409,665.3100",333.5000,"769,077,264.2200",526,,20.8736,3.2386,民营企业,27.8200
002500.SZ,山西证券,非银金融,12,4,8,"焦杨,马便月,高明,郭江明,张福荣,万河斌,王志刚,闫晓华,尤济敏,胡朝晖,翟太煌,张晋",8,"412,615,277.0000","1,453.7300","17,634,503,052.0000",1755,,62.9512,-1.0573,地方国有企业,37.5600
002501.SZ,*ST利源,有色金属,9,3,6,"刘宇,王素芬,杨淑春",4,"24,077,653.6600",104.1000,"1,787,020,096.9100",856,,36.2499,30.7680,民营企业,24.0400
002502.SZ,鼎龙文化,传媒,9,3,6,"林丽乔,陈奕武,林伟集",6,"48,155,559.2800",89.0000,"827,975,878.6100",1248,,1.7717,9.2384,民营企业,38.2500
002503.SZ,搜于特,纺织服装,7,3,4,"张俊,丁力,胥静",5,"27,299,239.8000",156.5400,"1,897,875,680.7000",553,,10.8845,67.0887,民营企业,49.8500
002504.SZ,ST弘高,建筑装饰,9,3,6,"林钢,李国华,许志峰",6,"18,065,425.3200",91.6000,"773,583,824.3900",653,,12.8636,28.7420,民营企业,25.9400
002505.SZ,鹏都农牧,商业贸易,11,4,7,"谭玉玲,向来清,田孟军,汪洁,金祥云",9,"8,837,110.9400",89.9100,"835,064,595.1900",269,,5.0300,34.5766,民营企业,22.9400
002506.SZ,协鑫集成,电气设备,9,3,6,"周军伟,毛卫群,周华英",8,"59,360,381.9800",157.2300,"4,466,590,566.0800",1850,,31.3118,103.8055,民营企业,37.3800
002507.SZ,涪陵榨菜,食品饮料,11,4,7,"向瑞玺,于杰,申永洁",9,"59,801,598.5300",197.5200,"987,644,856.7000",909,,15.1427,23.2945,地方国有企业,35.5700
002508.SZ,老板电器,家用电器,9,3,6,"张林永,张松年,张惠芬,陈伟,唐根泉",7,"102,542,232.4700",317.7600,"1,684,388,677.1900",2441,,18.6028,31.8380,民营企业,50.3800
002510.SZ,天汽模,汽车,11,4,7,"王子玲,鲍建新,葛忠",6,"110,470,049.6000",253.5200,"2,168,003,241.9200",1867,,40.4800,39.6264,民营企业,8.9300
002511.SZ,中顺洁柔,轻工制造,11,4,7,"李红,温爱玲,黄月华",6,"138,690,497.3400",326.7800,"3,240,668,104.4600",4457,,38.3824,9.8952,民营企业,30.0600
002512.SZ,达华智能,计算机,7,3,4,"刘健,何彩霞,李焕芬",7,"25,015,340.1800",166.5700,"960,907,893.4900",1016,,6.5758,4.4333,民营企业,58.2900
002513.SZ,蓝丰生化,化工,11,4,7,"许洪生,陈德银,许遵明",8,"61,872,919.6400",307.9400,"1,654,839,570.3100",1395,,34.8760,45.6649,民营企业,30.9300
002514.SZ,宝馨科技,机械设备,9,3,6,"蒋小琴,陈红艳,李春",4,"39,217,001.9000",159.3000,"620,719,019.5600",739,,18.3745,55.5972,外资企业,51.4700
002515.SZ,金字火腿,食品饮料,9,3,6,"胡岿,吴雪松,张利丹",5,"8,987,901.4100",107.8600,"853,956,338.8300",278,,7.8803,10.1058,民营企业,27.7000
002516.SZ,旷达科技,汽车,9,3,6,"艾军,杨庆华,钱英",6,"54,629,880.6300",427.1700,"1,677,065,953.9800",1205,,12.4766,32.4397,民营企业,54.8700
002517.SZ,恺英网络,传媒,7,3,4,"张海华,林祥伟,代海军",7,"51,536,791.7200",121.8000,"632,513,756.6600",1598,,7.1807,8.5436,外资企业,57.6900
002518.SZ,科士达,电气设备,7,3,4,"林华勇,林英,徐晓艳",5,"61,789,934.0600",266.8800,"1,472,203,599.9000",1818,,19.7819,26.4112,民营企业,66.4000
002519.SZ,银河电子,家用电器,9,3,6,"钱建军,周黎霞,孙东",8,"67,207,610.2600",332.9200,"1,350,491,073.2300",1458,,26.4011,43.2067,民营企业,46.5900
002520.SZ,日发精机,机械设备,7,3,4,"梁洪均,黄海波,夏新",7,"15,720,670.0900",97.3100,"891,162,635.0800",391,,19.0954,30.9008,民营企业,50.2500
002521.SZ,齐峰新材,轻工制造,9,3,6,"刘永刚,杨志林,穆守敬,杜力,高冲平",7,"42,906,235.3800",213.8700,"2,559,824,900.7000",1167,,23.0479,37.0104,民营企业,31.1900
002522.SZ,浙江众成,轻工制造,7,3,4,"杭阿根,丁晓闻,詹越强",6,"23,432,897.6300",245.3300,"1,103,081,617.6800",395,,9.9563,21.9396,民营企业,54.8000
002523.SZ,天桥起重,机械设备,9,3,6,"谭竹青,廖梁进,楚星群",6,"52,550,861.7300",333.0500,"1,409,852,672.0800",885,,25.4293,8.1553,地方国有企业,19.0200
002524.SZ,光正眼科,医药生物,9,3,6,"冯卓,李俊英,钟方盛",8,"11,217,261.2100",134.9800,"692,566,134.4200",263,,32.4425,38.2933,民营企业,38.8500
002526.SZ,山东矿机,机械设备,9,3,6,"赵世武,朱云,于志刚",7,"103,008,848.2100",83.1300,"2,845,479,216.0300",2025,,35.0377,24.7161,民营企业,23.4200
002527.SZ,新时达,电气设备,9,3,6,"张晋华,钟斌,彭胜国",7,"73,316,073.0900",575.9000,"1,329,604,824.6300",774,,11.9728,23.1539,民营企业,21.4700
002528.SZ,英飞拓,计算机,7,3,4,"王卫香,刘祯祥,林佳丽",6,"98,248,066.9100",366.8500,"2,311,620,494.6500",1168,,3.6106,28.4575,外资企业,35.9200
002529.SZ,海源复材,机械设备,9,3,6,"叶仰恩,翁玉顺,张立辉",8,"35,204,415.8800",255.5400,"1,380,836,843.2800",840,,26.1375,32.0735,民营企业,24.2800
002530.SZ,金财互联,计算机,9,3,6,"卜炜,房莉莉,刘扬新",9,"29,854,603.5900",239.9600,"860,570,527.6000",724,,29.9018,34.9164,民营企业,38.6400
002531.SZ,天顺风能,电气设备,7,3,4,"史震,徐中南,周建忠",5,"25,814,803.2100",113.8600,"2,004,560,193.7700",476,,20.0014,9.9645,民营企业,37.5000
002532.SZ,天山铝业,机械设备,9,3,6,"张宏,潘炳琳,刘进小",6,"61,908,843.2000",203.7600,"1,005,103,265.3600",1782,,22.5800,26.8055,民营企业,21.9600
002533.SZ,金杯电工,电气设备,11,4,7,"林旭,杨志强,隆小勇,刘利文,娄国军",9,"45,340,386.9700",482.8800,"2,329,326,012.9300",1133,,27.2356,30.3783,民营企业,21.4300
002534.SZ,西子洁能,电气设备,9,3,6,"徐洪炳,丁建平,成谦",8,"191,747,824.5600",520.8500,"4,145,306,922.3800",2205,,65.6498,16.4367,民营企业,50.1208
002535.SZ,ST林重,机械设备,9,3,6,"韩保军,王峰,郭松生",10,"51,333,975.3200",217.8300,"1,235,510,846.9100",1268,,63.6621,24.1406,民营企业,51.4390
002536.SZ,飞龙股份,汽车,9,3,6,"摆向荣,徐晓锋,万国敏",10,"58,936,810.1500",105.0600,"1,147,008,687.8600",2292,,71.0517,48.7176,民营企业,57.5694
002537.SZ,海联金汇,计算机,9,3,6,"亓秀美,新屋洋一,王明伟",6,"28,845,441.5000",126.0600,"976,798,130.4700",833,,70.5390,52.9989,民营企业,55.0000
002538.SZ,司尔特,化工,9,3,6,"李卫华,姜龙,桂芳娥",7,"64,733,656.6300",246.4000,"865,242,261.7200",1546,,58.7178,9.5816,民营企业,63.5000
002539.SZ,云图控股,化工,7,3,4,"李宏,孙晓霆,邓伦明",8,"87,910,562.0100",251.9400,"2,103,422,855.5900",2215,,65.6496,19.0016,民营企业,59.6300
002540.SZ,亚太科技,有色金属,9,3,6,"陈国琴,杨立权,张俊华",6,"75,613,242.2800",562.9400,"829,394,513.1300",1506,,32.3224,40.1147,民营企业,62.4250
002541.SZ,鸿路钢构,建筑装饰,5,2,3,"胡耿武,朱月泉,郝景月",5,"135,878,853.0600",139.1200,"2,448,025,593.8900",2809,,82.2117,62.7812,民营企业,70.9000
002542.SZ,中化岩土,建筑装饰,7,3,4,"李鸿江,李岳峰,李学洪",8,"17,716,549.8000",290.8600,"190,452,311.6400",206,,36.3455,18.0677,,71.9000
002543.SZ,万和电气,家用电器,7,3,4,"邱守文,胡玲,黄少燕",9,"199,079,704.1700",384.7200,"1,302,918,805.4100",4090,,53.6792,32.2682,,51.0000
002544.SZ,杰赛科技,通信,11,4,7,"黄消溶,侯玉清,李敬虹,王小明,金林海",8,"183,005,638.1400",720.6300,"879,429,749.5400",1948,,64.2952,19.2483,中央国有企业,50.0430
002545.SZ,东方铁塔,化工,9,3,6,"韩宝胜,孟潘梅,王同锡",8,"94,113,420.3200",173.0000,"1,845,657,139.6900",2800,,64.3064,15.0422,,70.0000
002546.SZ,新联电子,电气设备,8,3,5,"王霞,张健,崔建良",7,"24,015,108.8400",203.7000,"407,587,521.7900",422,,35.8708,50.9852,,78.0800
002547.SZ,春兴精工,电子,6,2,4,"吴永忠,张勇,赵中武",7,"62,614,587.4200",,"752,100,676.2600",1516,,59.4419,29.8006,,68.3600
002548.SZ,金新农,农林牧渔,8,3,5,"刘超,何显坤,刘谋健,张颖,王军",4,"57,116,511.0000",284.2900,"362,031,795.0500",828,,39.7707,8.8531,民营企业,95.9500
002549.SZ,凯美特气,化工,8,3,5,"乔志钢,魏玺群,张晓辉",4,"12,459,428.9100",121.9500,"353,625,026.5800",107,,32.3060,8.4915,,87.0000
002550.SZ,千红制药,医药生物,9,4,5,"郑涛,金小东,周冠新",6,"50,390,432.5500",435.0900,"548,526,586.0400",531,,24.5660,53.9086,,30.4100
002551.SZ,尚荣医疗,医药生物,9,3,6,"朱辉,李唯唯,张燕",5,"42,137,403.8200",154.5000,"488,620,580.3800",786,,43.5153,29.5069,,56.5100
002552.SZ,宝鼎科技,机械设备,7,3,4,"郭蔚荣,张琪,陈静",4,"20,571,736.3500",240.0000,"421,044,873.0200",504,,33.6583,6.5189,,58.0000
002553.SZ,南方轴承,汽车,9,3,6,"赵一平,闻琴芬,于伟",5,"41,604,287.9600",138.2500,"283,182,779.4600",798,,44.8956,41.9378,,53.0000
002554.SZ,惠博普,采掘,9,4,5,"刘立平,王毅刚,王全",9,"32,687,643.5500",461.5000,"466,403,839.4600",388,,40.6988,25.6736,,22.7000
002555.SZ,三七互娱,传媒,9,4,5,"黄根生,陈建宝,苗春青",10,"17,689,591.8300",,"399,740,585.9900",454,,54.3957,33.9784,,29.6440
002556.SZ,辉隆股份,化工,8,3,5,"李振民,何翔,胡平",8,"61,841,114.2900","1,159.0600","2,998,058,621.1100",607,,81.9873,35.8650,,51.4900
002557.SZ,洽洽食品,食品饮料,9,3,6,"祖平,张世所,项良宝",6,"170,163,231.8200",,"1,221,962,126.2400",5196,,53.0382,29.9801,,65.0000
002558.SZ,巨人网络,传媒,5,2,3,"胡云波,彭李容,陈先",6,"21,958,200.7200",94.9300,"262,331,876.3500",816,,44.0194,37.9339,民营企业,89.3200
002559.SZ,亚威股份,机械设备,0,0,0,,0,"47,861,098.1900",,"691,993,384.4300",787,,65.3410,71.1053,,23.7500
002560.SZ,通达股份,电气设备,7,3,4,"焦会芬,蔡晓贤,马艳红",5,"6,063,512.9400",,"572,442,475.2800",231,,54.5759,17.5786,,
002561.SZ,徐家汇,商业贸易,0,0,0,,0,"110,712,516.4500",,"1,570,634,254.8000",1084,,36.5872,10.0077,,38.0000
002562.SZ,兄弟科技,化工,9,3,6,"沈飞,罗臣,唐月强",6,"31,851,627.9100",,"594,344,350.8200",408,,52.5896,12.5454,,
002563.SZ,森马服饰,纺织服装,11,4,7,"蒋成乐,齐俊华,姜捷",7,"235,407,537.6100",,"3,538,668,327.2800",1739,,43.3845,47.9191,,
002564.SZ,天沃科技,机械设备,9,3,6,"罗美琴,闵敬爱,陆建洪,李晓阳",9,"84,575,617.3100",455.2800,"2,683,043,237.9600",1589,,78.3194,14.0695,,
002565.SZ,顺灏股份,轻工制造,7,3,4,"王耀锋,周寅珏,孙惠新",6,"36,048,060.6300",,"844,674,977.8600",757,,50.9512,17.8222,,
002566.SZ,益盛药业,医药生物,9,3,6,"张祖英,张锦,李国君",9,"37,412,876.3800",,"515,059,410.6400",1777,,30.2219,24.4260,,51.8500
002567.SZ,唐人神,农林牧渔,9,3,6,"黄国民,丁智芳,刘宏,杨卫红,邓祥建",5,"156,504,957.2400",,"1,450,969,887.4100",3710,,60.2128,16.8389,,33.1200
002568.SZ,百润股份,食品饮料,7,3,4,"罗艳召,林丽莺,喻晓春",5,"20,133,229.1700",,"175,681,978.0300",135,,32.5587,19.0654,,
002569.SZ,ST步森,纺织服装,9,3,6,"袁华云,杨红,王建丽",9,"72,751,972.9300",,"448,722,519.0900",1992,,54.1259,15.8564,,73.4000
002570.SZ,贝因美,食品饮料,9,3,6,"郑延海,李宇航,姚瑞模",6,"392,181,037.1700",,"2,660,269,143.6700",6255,,58.4865,24.1302,,
002571.SZ,德力股份,轻工制造,10,4,6,"周兆雪,王潍东,肖体喜",6,"63,659,458.9000",,"544,734,727.2800",1574,,52.5527,31.0579,,
002572.SZ,索菲亚,轻工制造,11,4,7,"余晓敏,邓积雄,杨俊魁",6,"58,701,802.8300",,"311,305,662.9700",1460,,39.9730,70.4123,,
002573.SZ,清新环境,公用事业,8,3,5,"钟利春,赖月明,礼洪岩",7,"26,223,635.2000",,"1,119,769,700.5500",235,,67.3091,-3.1614,,
002574.SZ,明牌珠宝,轻工制造,7,3,4,"叶炜国,李云夫,虞初良",6,"39,206,163.9900",,"2,106,091,858.3100",806,,67.4024,22.1261,,
002575.SZ,*ST群兴,轻工制造,6,3,3,"黄仕昭,林少明,林桐波",2,"43,731,085.5300",,"308,641,928.5800",1246,,39.0969,29.7196,,
002576.SZ,通达动力,电气设备,9,3,6,"何建忠,朱斌,褚邵华",6,"53,063,323.0000",,"492,686,403.4000",1494,,46.7284,87.2863,,
002577.SZ,雷柏科技,计算机,5,2,3,"曾雪琴,唐明,李新梅",6,"86,227,739.5000",,"348,245,165.4100",2495,,37.5209,15.6333,,
002578.SZ,闽发铝业,有色金属,9,3,6,"周剑,陈敏,龚君",7,"16,339,641.2500",,"546,509,185.8000",629,,53.0018,22.1404,,
002579.SZ,中京电子,电子,7,3,4,"黄生荣,王文娟,王伟",5,"43,801,171.0200",,"388,803,444.0900",1526,,48.3837,27.7092,,
002580.SZ,圣阳股份,电气设备,9,3,6,"辛本营,景勇,杨勇利,周剑,杨俊超",9,"46,439,102.9600",,"606,260,822.7700",1490,,61.2492,18.5113,,
002581.SZ,未名医药,医药生物,9,3,6,"王景坡,张世柱,赵丰庆",9,"16,766,658.7500",,"209,680,141.1100",170,,15.4226,15.6103,,
002582.SZ,好想你,食品饮料,8,3,5,"何超,孔强,马军伟,牛红霞,王俊峰",7,"56,236,572.4200",,"753,270,295.2500",1536,,62.9644,61.0063,,
002583.SZ,海能达,通信,9,3,6,"李航,付东辉,邓峰",8,"195,142,243.6200",,"1,121,518,149.8300",2236,,65.7318,38.5454,,83.0000
002584.SZ,西陇科学,化工,9,3,6,"李树炎,潘海飞",6,"49,839,473.4300",,"670,305,788.1100",1076,,43.4563,31.9937,,
002585.SZ,双星新材,轻工制造,5,2,3,"金叶,李平,郑卫",9,"20,086,642.1700",,"1,335,015,150.0400",458,,53.7481,128.8451,,
002586.SZ,*ST围海,建筑装饰,7,3,4,"张新福,杨贤水,王长军,王春亚",8,"38,423,360.4100",,"830,404,611.5200",498,,67.9258,10.4552,,
002587.SZ,奥拓电子,电子,9,3,6,"邱荣邦,吴振志,矫人全,杨四化,黄斌",7,"24,166,323.5000",209.2200,"219,325,815.5400",528,,30.2965,45.2261,,
