,证券代码↑,证券简称,所属申万行业名称[行业级别] 一级行业,董事会人数[交易日期] 2010-12-31,独立董事人数[交易日期] 2010-12-31,非独立董事人数[交易日期] 2010-12-31,公司监事(历任)[交易日期] 2010-12-31,高管人数[交易日期] 2010-12-31,支付给职工以及为职工支付的现金[报告期] 2010年报[报表类型] 合并报表[单位] 元,管理层年度薪酬总额[年度] 2010[单位] 万元,资产总计[报告期] 2010年报[报表类型] 合并报表[单位] 元,员工总数[交易日期] 2010-12-31,净现金流[报告期] 2010第四季度[单位] 元,资产负债率[报告期] 2010年报[单位] %,营业收入(同比增长率)[报告期] 2010年报[单位] %,公司属性[交易日期] 2010-12-31,大股东持股比例[日期] 2010-12-31[排名] 第1名[单位] %,Stkcd,EndDate,Same,Symbol,Enddate,StatisticalCaliber,UnpaidNumber
294,000782,美达股份,化工,9.0,3.0,6.0,"梁仲义,苏建波,关金辉",7.0,"117,609,339.9100",586.5400,"2,424,538,528.2700",3491.0,,60.2127,52.2935,民营企业,20.23,000782,2010-12-31,N,000782,2010-12-31,1,0
295,000783,长江证券,非银金融,11.0,4.0,7.0,"刘建波,梅咏明,田丹,王新海,刘建红,熊雷鸣",8.0,"691,001,455.8800","1,161.5300","35,772,643,536.8800",6176.0,,73.3634,0.1508,公众企业,16.07,000783,2010-12-31,N,000783,2010-12-31,1,10
296,000785,居然之家,商业贸易,8.0,3.0,5.0,"杨俊汉,陈建军,肖书钢,牛波霞,杨敏",5.0,"204,018,080.8900",202.6600,"2,636,904,947.6000",7460.0,,72.3535,10.1211,地方国有企业,41.99,000785,2010-12-31,N,000785,2010-12-31,1,3
297,000786,北新建材,建筑材料,9.0,3.0,6.0,"曹江林,胡金玉,齐英臣",8.0,"337,901,813.0600",248.1000,"7,357,081,850.3300",3647.0,,56.2323,33.4058,中央国有企业,52.4,000786,2010-12-31,N,000786,2010-12-31,1,6
298,000788,北大医药,医药生物,9.0,3.0,6.0,"黄成,张孝平,李斌,陈善举,赵永凯",6.0,"145,798,330.4100",82.1200,"1,979,145,195.4400",3035.0,,57.0731,47.7176,其他企业,34.38,000788,2010-12-31,N,000788,2010-12-31,1,4
299,000789,万年青,建筑材料,8.0,3.0,5.0,"李元本,单津辉,徐集保,邓小春",6.0,"159,694,048.1200",212.0500,"6,586,709,969.9400",4736.0,,64.5621,34.2581,地方国有企业,45.5,000789,2010-12-31,N,000789,2010-12-31,1,5
300,000790,华神科技,医药生物,8.0,3.0,5.0,"柴进光,彭旭东,张志昭",10.0,"47,961,238.1100",304.7900,"769,461,513.6000",1094.0,,40.1104,28.3965,民营企业,25.42,000790,2010-12-31,N,000790,2010-12-31,1,0
301,000791,甘肃电投,公用事业,7.0,3.0,4.0,"盛永宁,胡曦元,张勇,焦永林,罗智武",7.0,"40,468,174.9100",88.3500,"717,590,379.3200",606.0,,51.4789,21.0348,地方国有企业,39.5,000791,2010-12-31,N,000791,2010-12-31,1,6
302,000792,盐湖股份,化工,11.0,4.0,7.0,"王永宴,叶小玲,何世钎,李春仓,秦丽萍,魏业秋,杨占山,叶发银,陈丰",8.0,"336,700,167.0800",220.5100,"10,659,741,408.5800",3769.0,,44.4052,8.5856,地方国有企业,30.6,000792,2010-12-31,N,000792,2010-12-31,1,10
303,000793,华闻集团,传媒,8.0,3.0,5.0,"毛建中,杨军,覃海燕,蔡亲波",9.0,"412,207,361.8200",802.8300,"4,554,485,043.2700",10917.0,,28.8757,37.4507,中央国有企业,20.31,000793,2010-12-31,N,000793,2010-12-31,1,6
304,000795,英洛华,有色金属,9.0,3.0,6.0,"白建仓,牛金箭,厉宝平",8.0,"79,326,769.5200",87.1500,"1,427,978,301.3400",2645.0,,82.0811,41.8391,其他企业,26.02,000795,2010-12-31,N,000795,2010-12-31,1,6
305,000796,凯撒旅业,休闲服务,7.0,3.0,4.0,"彭国祥,王晓,李安凤",5.0,"83,149,158.2100",92.7500,"834,005,270.4700",2569.0,,35.7571,43.4538,其他企业,17.38,000796,2010-12-31,N,000796,2010-12-31,1,1
306,000797,中国武夷,房地产,9.0,3.0,6.0,"林群,俞建辉,林恩惠,周宪生,陈魏",5.0,"103,106,826.0600",108.3500,"5,200,743,286.7100",2755.0,,70.7431,-31.0047,地方国有企业,31.51,000797,2010-12-31,N,000797,2010-12-31,1,9
307,000798,中水渔业,农林牧渔,9.0,3.0,6.0,"沈庙成,张军伟,刘影,刘振水",7.0,"62,383,163.5000",363.0000,"785,744,112.9900",252.0,,12.5370,13.9346,中央国有企业,25.36,000798,2010-12-31,N,000798,2010-12-31,1,7
308,000799,酒鬼酒,食品饮料,9.0,3.0,6.0,"滕建新,李文生,陈芳,李小平,刘龙",14.0,"68,899,251.2100",736.5500,"1,290,349,826.9800",874.0,,41.4055,53.5990,外资企业,32.15,000799,2010-12-31,N,000799,2010-12-31,1,5
309,000800,一汽解放,汽车,8.0,3.0,5.0,"杨延晨,白羽,马振东,刘殿伟,李原子",6.0,"1,048,546,678.9500",521.1300,"17,675,951,162.1800",7836.0,,50.6759,34.6587,中央国有企业,53.03,000800,2010-12-31,N,000800,2010-12-31,1,6
310,000801,四川九洲,家用电器,7.0,3.0,4.0,"徐健飞,杨远林,陈锐",8.0,"244,841,759.9200",56.2300,"2,337,046,212.7200",6299.0,,65.0275,29.4156,地方国有企业,64.07,000801,2010-12-31,Y,000801,2010-12-31,1,3
311,000802,ST北文,传媒,8.0,3.0,5.0,"张集书,赵玉美,任蓉芬",6.0,"46,465,543.9000",98.1600,"467,725,272.1700",1599.0,,43.0558,1.9253,集体企业,35.41,000802,2010-12-31,N,000802,2010-12-31,1,4
312,000803,北清环能,电气设备,8.0,3.0,5.0,"袁效英,郁忠,潘建萍",4.0,"6,005,248.8300",69.9800,"213,275,736.6300",293.0,,46.8657,-5.3185,民营企业,23.51,000803,2010-12-31,N,000803,2010-12-31,1,0
313,000806,ST银河,电气设备,7.0,3.0,4.0,"邓丽芳,蔡琼瑶,刘琛如,唐捷,刘伟",4.0,"98,189,546.9000",126.4100,"2,901,367,995.6500",2286.0,,63.8827,-4.1826,民营企业,14.68,000806,2010-12-31,Y,000806,2010-12-31,1,0
314,000807,云铝股份,有色金属,13.0,5.0,8.0,"李俊,黄金海,沈家贵",8.0,"412,421,767.1900",0.0000,"11,889,385,044.9800",3920.0,,61.6878,40.6219,地方国有企业,49.13,000807,2010-12-31,N,000807,2010-12-31,1,13
315,000809,铁岭新城,房地产,9.0,3.0,6.0,"李景川,奉兴,张双林,冯华祥,芮旭东",4.0,"17,052,464.3500",75.2000,"243,439,334.2800",378.0,,44.1664,5.2772,民营企业,38.7,000809,2010-12-31,N,000809,2010-12-31,1,7
316,000810,创维数字,家用电器,9.0,3.0,6.0,"刘晓力,陈兴运,王德广",7.0,"94,980,412.9300",61.3100,"1,155,262,252.4000",3233.0,,48.1451,21.4109,中央国有企业,50.99,000810,2010-12-31,,000810,2010-12-31,1,5
317,000811,冰轮环境,机械设备,9.0,3.0,6.0,"刘贤钊,王旭光,董大文",8.0,"145,997,074.6200",289.3100,"1,718,776,034.4300",1716.0,,57.1663,19.1375,地方国有企业,23.79,000811,2010-12-31,N,000811,2010-12-31,1,5
318,000812,陕西金叶,轻工制造,9.0,3.0,6.0,"顾德刚,王洲锁,闫凯",9.0,"67,584,576.4400",398.7900,"1,156,735,425.1100",478.0,,32.2397,-9.3574,外资企业,16.61,000812,2010-12-31,N,000812,2010-12-31,1,6
319,000813,德展健康,医药生物,9.0,3.0,6.0,"张晓虹,艾依热提.麦麦提吐尔逊,郑义泉,韩峰,陈郁",4.0,"61,247,005.8700",158.4000,"639,312,585.2400",1528.0,,33.4810,19.1879,地方国有企业,56.78,000813,2010-12-31,N,000813,2010-12-31,1,6
320,000815,美利云,轻工制造,9.0,3.0,6.0,"闫学廷,马建华,刘春丽",8.0,"108,908,588.2400",176.2300,"3,864,563,205.3900",4008.0,,77.9438,16.3910,中央国有企业,26.91,000815,2010-12-31,N,000815,2010-12-31,1,2
321,000816,智慧农业,机械设备,7.0,3.0,4.0,"陈玲,杨爱,文学干",11.0,"185,296,631.7000",341.3500,"2,743,240,586.4900",5254.0,,49.3323,20.6367,外资企业,22.96,000816,2010-12-31,N,000816,2010-12-31,1,3
322,000818,航锦科技,化工,9.0,3.0,6.0,"姚宝吉,李晓义,李成涛,张晓东,方贵山",10.0,"115,274,427.5300",84.3700,"2,711,481,871.4000",6995.0,,31.6034,71.8245,地方国有企业,55.92,000818,2010-12-31,N,000818,2010-12-31,1,3
323,000819,岳阳兴长,化工,9.0,3.0,6.0,"吕勤海,张苏克,谯培武,刘建军,张权彬",6.0,"64,272,846.8000",263.4000,"583,052,276.7700",545.0,,13.7201,41.6141,中央国有企业,23.46,000819,2010-12-31,N,000819,2010-12-31,1,8
324,000820,*ST节能,公用事业,9.0,3.0,6.0,"夏俊清,吴长城,王建荒",4.0,"79,292,925.2600",152.6500,"1,334,087,641.5700",2797.0,,153.2107,-13.5949,民营企业,24.41,000820,2010-12-31,,000820,2010-12-31,1,6
325,000821,京山轻机,机械设备,7.0,4.0,3.0,"田先平,李明辉,韩志刚,陈昭俊,夏长军",8.0,"60,447,621.7600",213.9600,"1,421,630,556.4100",1707.0,,18.4741,33.8303,民营企业,25.79,000821,2010-12-31,N,000821,2010-12-31,1,2
326,000822,山东海化,化工,8.0,3.0,5.0,"李白贤,齐春雷,丁红玉,董益军,刘国胜",7.0,"381,205,026.5400",123.0000,"7,111,742,025.7600",8346.0,,49.6765,26.8307,中央国有企业,40.34,000822,2010-12-31,N,000822,2010-12-31,1,8
327,000823,超声电子,电子,9.0,3.0,6.0,"郑爱哲,陈汉真,陈汉龙",6.0,"307,610,382.6000",562.3700,"3,366,843,679.2800",5146.0,,42.3939,30.0205,地方国有企业,38.971,000823,2010-12-31,N,000823,2010-12-31,1,0
328,000825,太钢不锈,钢铁,11.0,4.0,7.0,"韩瑞平,杨贵龙,刘千里",7.0,"2,054,222,933.4800",200.3300,"63,604,797,538.4100",22986.0,,63.9396,21.3975,地方国有企业,64.24,000825,2010-12-31,N,000825,2010-12-31,1,6
329,000826,启迪环境,公用事业,7.0,3.0,4.0,"赵达,刘华蓉,董智明",8.0,"42,184,037.8000",206.8000,"2,974,357,179.9300",1249.0,,53.3689,42.0118,民营企业,44.9,000826,2010-12-31,N,000826,2010-12-31,1,2
330,000828,东莞控股,交通运输,7.0,3.0,4.0,"陈桂芳,尹志鹏,叶卓棋",7.0,"51,403,076.0700",671.6100,"4,201,920,737.1000",612.0,,28.2611,36.6517,地方国有企业,41.54,000828,2010-12-31,N,000828,2010-12-31,1,1
331,000829,天音控股,商业贸易,11.0,4.0,7.0,"施文慧,凌真新,周星明,胡秀艳,刘兴春",6.0,"831,111,015.0500",389.0000,"8,561,487,980.8400",7724.0,,65.7799,19.8353,中央国有企业,13.93,000829,2010-12-31,N,000829,2010-12-31,1,5
332,000830,鲁西化工,化工,9.0,3.0,6.0,"于清,张来明,杨本华,董书国,李书海",8.0,"543,145,480.8800",521.4100,"11,282,465,301.0700",10135.0,,77.0432,18.8033,地方国有企业,42.53,000830,2010-12-31,N,000830,2010-12-31,1,0
333,000831,五矿稀土,有色金属,9.0,3.0,6.0,"王金融,王巧萍,王永翔,郭大鹏,昝建国",8.0,"107,789,802.0500",218.4000,"2,112,235,743.0200",3404.0,,99.3431,55.0419,中央国有企业,29.9,000831,2010-12-31,N,000831,2010-12-31,1,6
334,000833,粤桂股份,采掘,5.0,2.0,3.0,"张静琴,周如军,梁步明",6.0,"101,833,652.7900",153.9000,"1,388,827,427.8300",2703.0,,40.5331,24.7277,民营企业,25.6,000833,2010-12-31,N,000833,2010-12-31,1,3
335,000835,*ST长动,传媒,9.0,3.0,6.0,"张莉,廖立红,王淑英",5.0,"41,008,482.0600",198.7600,"686,225,637.1300",1027.0,,35.9920,22.8967,民营企业,11.81,000835,2010-12-31,Y,000835,2010-12-31,1,0
336,000836,富通信息,通信,9.0,3.0,6.0,"孙昭慧,李建成,杜克玉",6.0,"59,308,079.1600",296.0000,"2,509,669,547.8900",2371.0,,61.5841,10.0567,民营企业,30.11,000836,2010-12-31,N,000836,2010-12-31,1,0
337,000837,秦川机床,机械设备,9.0,4.0,5.0,"杭宝军,王怀科,罗军,高俊峰,陆军",8.0,"141,871,024.2300",228.8100,"1,908,818,817.5300",2257.0,,44.3441,25.7631,地方国有企业,26.65,000837,2010-12-31,N,000837,2010-12-31,1,5
338,000838,财信发展,房地产,9.0,3.0,6.0,"汪玉辉,夏玉坤,张宏",6.0,"9,833,531.2000",199.0000,"636,947,134.2500",36.0,,48.3646,-97.5752,地方国有企业,32.32,000838,2010-12-31,N,000838,2010-12-31,1,5
339,000839,中信国安,综合,15.0,5.0,10.0,"雷雪嶺,赵卫平,刘欣",8.0,"462,859,441.3000",591.4800,"10,747,865,273.3200",3347.0,,47.6519,7.8113,中央国有企业,41.42,000839,2010-12-31,N,000839,2010-12-31,1,11
340,000848,承德露露,食品饮料,9.0,3.0,6.0,"莫斐,董晓鹏,刘志刚",10.0,"80,707,232.3500",608.0000,"1,369,942,849.8800",1199.0,,44.2136,36.7100,民营企业,42.55,000848,2010-12-31,N,000848,2010-12-31,1,6
341,000850,华茂股份,纺织服装,9.0,4.0,5.0,"胡孟春,关辉,戴黄清,吴德庆,刘春西",5.0,"196,966,117.8200",52.0600,"6,906,546,855.1700",5875.0,,42.5013,23.7263,地方国有企业,46.4,000850,2010-12-31,N,000850,2010-12-31,1,1
342,000851,高鸿股份,通信,7.0,4.0,3.0,"栗娜,王奕,郭光莉",7.0,"73,175,926.1100",357.8000,"2,349,248,828.6300",1504.0,,53.5683,34.2257,中央国有企业,11.37,000851,2010-12-31,Y,000851,2010-12-31,1,4
343,000852,石化机械,机械设备,9.0,3.0,6.0,"邹志国,赵伯荡,杨斌",11.0,"222,730,852.9400",420.3800,"1,656,194,693.2000",1659.0,,32.4277,12.3695,中央国有企业,67.5,000852,2010-12-31,N,000852,2010-12-31,1,6
344,000856,冀东装备,机械设备,9.0,4.0,5.0,"刘志贵,楚跃华,刘朝波,侯焕荣,王新智",5.0,"143,959,050.7400",144.2700,"855,716,683.3300",7952.0,,95.3846,4.8654,地方国有企业,29.9,000856,2010-12-31,Y,000856,2010-12-31,1,0
345,000858,五粮液,食品饮料,10.0,5.0,5.0,"李启彬,邱萍,任仕铭,龙文举,范国琼",8.0,"1,728,275,530.4900",865.0300,"28,673,500,525.1600",26478.0,,35.9475,39.6441,地方国有企业,56.07,000858,2010-12-31,N,000858,2010-12-31,1,3
346,000859,国风新材,化工,8.0,4.0,4.0,"阮利,汪丽雅,郭静",6.0,"58,076,613.0500",201.9800,"1,476,611,712.7100",1432.0,,37.4606,12.5815,地方国有企业,33.32,000859,2010-12-31,Y,000859,2010-12-31,1,0
347,000860,顺鑫农业,食品饮料,9.0,3.0,6.0,"李宝玉,张振,潘永杰",7.0,"277,978,346.1100",185.4000,"9,929,372,796.5100",6001.0,,71.8410,2.9783,地方国有企业,47.0,000860,2010-12-31,Y,000860,2010-12-31,1,2
348,000861,海印股份,商业贸易,6.0,3.0,3.0,"李春兰,周斌,李少菊",6.0,"87,199,221.0000",325.6800,"2,478,530,572.4800",2154.0,,62.0717,49.7234,民营企业,69.62,000861,2010-12-31,N,000861,2010-12-31,1,0
349,000862,银星能源,公用事业,9.0,3.0,6.0,"哈秀龙,朱敏,贾新军",7.0,"82,890,971.1500",165.1100,"3,702,512,496.1700",1635.0,,85.8165,28.9230,地方国有企业,28.02,000862,2010-12-31,N,000862,2010-12-31,1,7
350,000863,三湘印象,房地产,5.0,2.0,3.0,"肖志东,吴航,洪建男",4.0,"1,892,956.3900",113.7400,"170,847,695.9900",24.0,,699.8479,-14.9845,民营企业,22.26,000863,2010-12-31,N,000863,2010-12-31,1,2
351,000868,安凯客车,汽车,11.0,4.0,7.0,"叶家彬,葛基华,李永祥",7.0,"131,398,038.3700",229.2000,"2,536,982,151.6400",3058.0,,68.9256,43.9363,地方国有企业,23.48,000868,2010-12-31,N,000868,2010-12-31,1,5
352,000869,张裕A,食品饮料,11.0,2.0,9.0,"傅铭志,张虹霞,姜进强",9.0,"323,612,090.0000",817.9000,"5,983,377,253.0000",4482.0,,33.2125,18.6584,集体企业,50.4,000869,2010-12-31,N,000869,2010-12-31,1,6
353,000875,吉电股份,公用事业,7.0,3.0,4.0,"邱荣生,章宏雷,李春华,梁秀华,周湘林,李羽",8.0,"215,716,832.9800",442.5200,"14,222,885,958.2800",2012.0,,82.1038,21.6529,中央国有企业,25.58,000875,2010-12-31,N,000875,2010-12-31,1,4
354,000876,新希望,农林牧渔,9.0,3.0,6.0,"朱月樵,曾祥光,张韶",6.0,"288,729,771.9400",256.0600,"9,744,662,875.9300",10258.0,,46.3665,14.5303,民营企业,45.7,000876,2010-12-31,N,000876,2010-12-31,1,2
355,000877,天山股份,建筑材料,8.0,3.0,5.0,"居来提.吐尔地,高云,姜瀛,李敬梅,王迎财",10.0,"444,396,151.8000",310.9000,"10,360,191,115.9800",2401.0,,58.7359,38.6298,中央国有企业,41.95,000877,2010-12-31,N,000877,2010-12-31,1,11
356,000878,云南铜业,有色金属,11.0,4.0,7.0,"毛义强,王坚,赵玉,周润民,沙先彬",7.0,"892,069,358.1100",368.2700,"32,226,121,826.3000",12236.0,,83.6132,95.9477,中央国有企业,54.3,000878,2010-12-31,N,000878,2010-12-31,1,10
357,000880,潍柴重机,机械设备,9.0,4.0,5.0,"刘新生,孙承平,徐浩",8.0,"146,402,684.6600",392.6500,"2,504,871,525.2900",2044.0,,63.5015,13.8697,地方国有企业,30.59,000880,2010-12-31,N,000880,2010-12-31,1,6
358,000881,中广核技,化工,12.0,4.0,8.0,"刘海勤,王军,阎志刚",6.0,"138,953,387.8800",600.9000,"4,820,950,697.8800",1455.0,,61.5020,2.3799,地方国有企业,18.1,000881,2010-12-31,N,000881,2010-12-31,1,2
359,000882,华联股份,商业贸易,9.0,3.0,6.0,"周剑军,周晓刚,李瑶",5.0,"40,092,967.3800",156.0000,"5,330,545,753.6500",581.0,,37.3523,36.0433,中央国有企业,39.48,000882,2010-12-31,N,000882,2010-12-31,1,7
360,000883,湖北能源,公用事业,9.0,3.0,6.0,"金彪,刘承立,刘匡华,袁宏亮,孙贵平",8.0,"658,068,105.2900",406.7100,"28,379,155,989.3500",2051.0,,67.2521,27.3515,地方国有企业,42.96,000883,2010-12-31,N,000883,2010-12-31,1,5
361,000885,城发环境,交通运输,7.0,3.0,4.0,"余敏,郭春光,杨来上",9.0,"107,146,913.9200",234.0200,"4,389,876,119.8300",2055.0,,62.9553,9.7675,地方国有企业,66.3,000885,2010-12-31,N,000885,2010-12-31,1,5
362,000886,海南高速,交通运输,8.0,3.0,5.0,"陈小娜,陈莹,伍学云,符彩霞,黄泽标",7.0,"59,912,753.1800",328.1300,"2,956,823,731.5100",1246.0,,17.6320,180.9613,地方国有企业,20.05,000886,2010-12-31,,000886,2010-12-31,1,7
363,000887,中鼎股份,汽车,7.0,3.0,4.0,"胡小平,夏玉洁,高朝才,梁春芳",5.0,"372,728,509.8900",178.6100,"2,352,947,383.1100",4224.0,,51.1038,71.1137,民营企业,56.87,000887,2010-12-31,N,000887,2010-12-31,1,4
364,000888,峨眉山A,休闲服务,9.0,3.0,6.0,"李原,石红艳",9.0,"92,279,039.0500",136.2200,"1,179,813,491.9200",2107.0,,32.8357,21.8304,地方国有企业,39.62,000888,2010-12-31,N,000888,2010-12-31,1,1
365,000889,中嘉博创,通信,9.0,3.0,6.0,"尤运洋,张福纯,史鸿雁,卢小娟,马志发",7.0,"61,388,505.2100",283.9100,"1,520,404,134.1900",1899.0,,56.2582,20.4796,外资企业,29.9,000889,2010-12-31,N,000889,2010-12-31,1,5
366,000890,法尔胜,非银金融,9.0,3.0,6.0,"邹雅芳,唐福如,吉方宇,赵军,唐国强",6.0,"123,983,576.3100",137.4600,"3,378,202,336.4400",2793.0,,64.7268,8.9260,民营企业,20.66,000890,2010-12-31,N,000890,2010-12-31,1,8
367,000892,欢瑞世纪,传媒,5.0,2.0,3.0,"王永康,陈亚兰,徐景成",3.0,"617,659.9500",39.2000,"949,127.5400",7.0,,"1,654.5346",,外资企业,25.84,000892,2010-12-31,N,000892,2010-12-31,1,6
368,000893,亚钾国际,化工,9.0,3.0,6.0,"唐兵,兰江平,赵忠新",6.0,"50,680,681.0900",778.0000,"4,455,583,058.8600",516.0,,88.6596,-14.7080,民营企业,60.5,000893,2010-12-31,N,000893,2010-12-31,1,0
369,000895,双汇发展,食品饮料,6.0,3.0,3.0,"张晓辉,李连魁,楚玉华,乔海莉,胡育红",7.0,"1,034,091,004.7900",668.5600,"6,708,825,709.2600",14571.0,,35.7754,28.0724,外资企业,30.27,000895,2010-12-31,N,000895,2010-12-31,1,4
370,000897,津滨发展,房地产,11.0,4.0,7.0,"周凤强,徐建新,杨志刚,刘兵,韩绍森,吴志宽",9.0,"92,775,533.1200",527.7500,"7,641,125,744.3400",686.0,,68.3888,90.1183,地方国有企业,23.29,000897,2010-12-31,N,000897,2010-12-31,1,8
371,000898,鞍钢股份,钢铁,8.0,3.0,5.0,"邢贵彬,单明一,闻宝满",6.0,"2,698,000,000.0000",309.3000,"105,114,000,000.0000",29875.0,,47.3476,31.8070,中央国有企业,67.29,000898,2010-12-31,N,000898,2010-12-31,1,3
372,000899,赣能股份,公用事业,11.0,5.0,6.0,"郭小莉,姚晓明,黎洪琥,李忠清,罗筱玉,关键,钟文帮",7.0,"52,640,412.1900",215.5600,"6,460,157,911.1900",459.0,,77.5317,-5.1195,地方国有企业,58.43,000899,2010-12-31,N,000899,2010-12-31,1,10
373,000900,现代投资,交通运输,9.0,3.0,6.0,"肖和生,商丽莎,叶仁文,田英明,龙斌春",5.0,"99,541,349.3000",269.3600,"6,489,849,559.1000",1475.0,,32.7835,3.4420,地方国有企业,27.19,000900,2010-12-31,N,000900,2010-12-31,1,5
374,000901,航天科技,机械设备,11.0,4.0,7.0,"刘益群,刘冬梅,严波",7.0,"166,121,779.8100",307.9500,"1,064,969,501.6400",1927.0,,24.3713,38.4310,中央国有企业,22.65,000901,2010-12-31,N,000901,2010-12-31,1,7
375,000902,新洋丰,化工,9.0,3.0,6.0,"耿燕京,黄新建,许幼红,方玉根,覃晓玲",5.0,"51,736,518.3300",145.9100,"1,297,336,328.1300",885.0,,67.9631,25.7486,中央国有企业,29.29,000902,2010-12-31,N,000902,2010-12-31,1,2
376,000903,云内动力,汽车,9.0,5.0,4.0,"李健雯,奎伟,施郭健,游从云,杨建",8.0,"232,885,717.7400",314.0900,"4,544,538,994.6500",1984.0,,41.5519,-6.5199,地方国有企业,38.14,000903,2010-12-31,N,000903,2010-12-31,1,3
377,000905,厦门港务,交通运输,9.0,3.0,6.0,"罗建中,林学玲,吴伟建,周毅榕,白景涛",5.0,"309,702,471.8200",225.2900,"2,979,362,672.3900",3464.0,,41.2979,3.6093,地方国有企业,55.13,000905,2010-12-31,N,000905,2010-12-31,1,8
378,000906,浙商中拓,交通运输,12.0,4.0,8.0,"王其达,颜建新,宋世福,肖太庆,雷邦景",8.0,"81,881,403.3900",733.2800,"3,331,600,357.9100",1486.0,,65.9568,71.2454,地方国有企业,46.13,000906,2010-12-31,N,000906,2010-12-31,1,5
379,000908,景峰医药,医药生物,9.0,3.0,6.0,"熊礼会,向威,程学民,胡激扬,朱错良",7.0,"26,281,206.4900",141.6300,"471,373,437.1000",741.0,,87.7284,-8.0323,中央国有企业,53.86,000908,2010-12-31,N,000908,2010-12-31,1,2
380,000909,数源科技,房地产,9.0,3.0,6.0,"方惠玲,骆金水,翁建华",4.0,"44,410,317.0600",206.1000,"2,668,510,951.9500",473.0,,76.7971,-14.8011,地方国有企业,52.27,000909,2010-12-31,Y,000909,2010-12-31,1,5
381,000910,大亚圣象,轻工制造,9.0,3.0,6.0,"张海燕,韦继升,茅智真",4.0,"438,274,283.8800",271.9000,"8,603,097,151.3700",8781.0,,67.6589,7.6832,民营企业,47.65,000910,2010-12-31,N,000910,2010-12-31,1,4
382,000911,南宁糖业,农林牧渔,11.0,4.0,7.0,"黄超建,韦益荣,梁善入,雷桂明,李建华",11.0,"381,135,079.6200",363.7200,"4,312,765,755.0300",4864.0,,62.7183,9.7146,地方国有企业,47.71,000911,2010-12-31,N,000911,2010-12-31,1,2
383,000912,泸天化,化工,5.0,2.0,3.0,"盛翔,彭传勇,冯云",7.0,"524,014,753.7500",120.1700,"7,278,526,189.2600",8581.0,,55.9836,-26.1539,地方国有企业,59.33,000912,2010-12-31,N,000912,2010-12-31,1,2
384,000913,钱江摩托,汽车,11.0,4.0,7.0,"蔡良正,孙为民,AU SING PUI",7.0,"293,203,926.3600",376.2600,"3,789,307,103.5600",8059.0,,61.2513,4.1280,地方国有企业,41.45,000913,2010-12-31,N,000913,2010-12-31,1,3
385,000915,华特达因,医药生物,9.0,3.0,6.0,"张海燕,王继扬,李珂,王堃,郑波",8.0,"68,755,438.3900",207.1200,"1,138,376,542.3400",236.0,,42.9433,12.1909,其他企业,21.81,000915,2010-12-31,N,000915,2010-12-31,1,6
386,000917,电广传媒,传媒,13.0,5.0,8.0,"王济民,陈道德,熊云开",10.0,"407,470,244.2600",716.6100,"11,583,824,669.2400",11512.0,,66.4071,48.2858,地方国有企业,21.52,000917,2010-12-31,N,000917,2010-12-31,1,0
387,000918,嘉凯城,房地产,9.0,3.0,6.0,"方明义,张发林,金军地",8.0,"400,292,690.7600",941.6900,"20,806,856,438.3600",1949.0,,70.0408,24.8139,地方国有企业,28.46,000918,2010-12-31,N,000918,2010-12-31,1,4
388,000919,金陵药业,医药生物,9.0,3.0,6.0,"洪俭,周小文,张瑞梅,张萌萌,蔡安金",10.0,"244,922,029.6300",554.8300,"2,743,772,318.3200",3504.0,,19.8440,9.8863,地方国有企业,45.23,000919,2010-12-31,N,000919,2010-12-31,1,6
389,000920,沃顿科技,公用事业,5.0,2.0,3.0,"左廷伟,鲍家驹,田阿灵",8.0,"181,001,592.9900",187.0000,"1,457,602,812.1400",2813.0,,33.6133,43.6892,中央国有企业,42.64,000920,2010-12-31,N,000920,2010-12-31,1,0
390,000921,海信家电,家用电器,9.0,3.0,6.0,"郭庆存,高中翔,刘展成",8.0,"1,246,763,089.8500",459.1500,"8,018,968,919.8400",34135.0,,88.6401,36.3774,地方国有企业,45.22,000921,2010-12-31,N,000921,2010-12-31,1,4
391,000922,佳电股份,电气设备,7.0,3.0,4.0,"刚希杰,王燕飞,于淑清,孙晓东,肖廷智",6.0,"26,885,003.0600",25.5000,"333,602,696.3900",876.0,,78.9031,20.1494,中央国有企业,42.4,000922,2010-12-31,N,000922,2010-12-31,1,4
392,000923,河钢资源,采掘,9.0,3.0,6.0,"李凤海,刘明德,牛延庆",6.0,"86,520,507.6300",54.2000,"1,120,602,546.0600",2185.0,,44.6237,23.7864,地方国有企业,35.54,000923,2010-12-31,N,000923,2010-12-31,1,7
393,000925,众合科技,机械设备,11.0,4.0,7.0,"耿晖,洪国伦,汤丽华",5.0,"119,741,518.3800",449.6600,"2,291,658,452.1900",989.0,,73.4818,-13.1185,地方国有企业,32.05,000925,2010-12-31,N,000925,2010-12-31,1,0
394,000926,福星股份,房地产,9.0,3.0,6.0,"谭才旺,汪益红,徐志雄",8.0,"147,177,810.4700",281.9000,"15,528,053,351.9700",5460.0,,65.4483,37.2970,集体企业,26.02,000926,2010-12-31,N,000926,2010-12-31,1,1
395,000927,中国铁物,汽车,11.0,4.0,7.0,"孙敬梅,王兵,傅弘",9.0,"604,010,910.6600",183.3600,"9,079,313,058.8000",5677.0,,59.9902,15.4537,中央国有企业,47.73,000927,2010-12-31,N,000927,2010-12-31,1,7
