,证券代码↑,证券简称,所属申万行业名称[行业级别] 一级行业,董事会人数[交易日期] 2010-12-31,独立董事人数[交易日期] 2010-12-31,非独立董事人数[交易日期] 2010-12-31,公司监事(历任)[交易日期] 2010-12-31,高管人数[交易日期] 2010-12-31,支付给职工以及为职工支付的现金[报告期] 2010年报[报表类型] 合并报表[单位] 元,管理层年度薪酬总额[年度] 2010[单位] 万元,资产总计[报告期] 2010年报[报表类型] 合并报表[单位] 元,员工总数[交易日期] 2010-12-31,净现金流[报告期] 2010第四季度[单位] 元,资产负债率[报告期] 2010年报[单位] %,营业收入(同比增长率)[报告期] 2010年报[单位] %,公司属性[交易日期] 2010-12-31,大股东持股比例[日期] 2010-12-31[排名] 第1名[单位] %,Stkcd,EndDate,Same,Symbol,Enddate,StatisticalCaliber,UnpaidNumber
21,000028,国药一致,医药生物,9.0,3.0,6.0,"王怀钦,关晓晖,姜修昌",10.0,"369,596,005.6600",712.1500,"6,306,793,005.8100",4187.0,,82.0599,18.7991,中央国有企业,38.33,000028,2010-12-31,N,000028,2010-12-31,1,8
22,000029,深深房A,房地产,9.0,3.0,6.0,"王秀颜,熊兴农,石春荣,许振汉,冯宏伟",7.0,"94,959,120.9100",355.6400,"3,379,090,178.0200",1862.0,,61.5344,36.1077,地方国有企业,63.55,000029,2010-12-31,N,000029,2010-12-31,1,4
23,000030,富奥股份,汽车,7.0,3.0,4.0,"牛素艳,王敏,孔那",3.0,"469,977.8600",63.9000,"73,920,089.8400",8.0,,"2,945.3997",-20.1520,民营企业,59.82,000030,2010-12-31,Y,000030,2010-12-31,1,4
24,000031,大悦城,房地产,9.0,3.0,6.0,"陈瑜,王浩,余福平",14.0,"201,446,447.6900","1,437.9900","20,173,630,451.1200",1692.0,,69.6077,-20.9782,中央国有企业,50.65,000031,2010-12-31,N,000031,2010-12-31,1,6
25,000032,深桑达A,通信,9.0,3.0,6.0,"王秋菊,赵奇,韦海东,叶剑明,李安建",7.0,"99,038,463.1800",466.4000,"1,489,448,926.8800",1744.0,,46.1773,19.9060,中央国有企业,42.02,000032,2010-12-31,N,000032,2010-12-31,1,5
26,000034,神州数码,计算机,7.0,3.0,4.0,"费泳洁,王祖荣,段满生",3.0,"39,135,011.4200",192.0000,"188,887,579.6500",1153.0,,65.0283,18.5043,民营企业,21.88,000034,2010-12-31,Y,000034,2010-12-31,1,5
27,000035,中国天楹,公用事业,7.0,3.0,4.0,"欧富,王旻菁,刘胜",6.0,"43,130.8000",71.0000,"595,209,862.2100",38.0,,301.9497,-6.4267,民营企业,22.41,000035,2010-12-31,N,000035,2010-12-31,1,3
28,000036,华联控股,房地产,9.0,3.0,6.0,"丁跃,李云,陈小佳",5.0,"34,112,865.2600",146.0000,"4,175,156,268.4000",572.0,,47.9080,-41.8966,集体企业,31.32,000036,2010-12-31,N,000036,2010-12-31,1,6
29,000037,深南电A,公用事业,13.0,5.0,8.0,"周群,朱天发,陈丽红,王玮,李超,易耀平,王荻菲",9.0,"106,943,679.1300",716.2700,"5,278,954,349.9000",347.0,,63.3932,-14.2464,公众企业,17.67,000037,2010-12-31,N,000037,2010-12-31,1,7
30,000038,深大通,传媒,7.0,3.0,4.0,"王立军,张国华,杨敬业",3.0,"2,828,568.5000",55.0000,"517,799,621.0800",54.0,,64.2323,173.7953,民营企业,38.71,000038,2010-12-31,Y,000038,2010-12-31,1,5
31,000039,中集集团,机械设备,8.0,3.0,5.0,"冯万广,吕世杰,黄倩如",11.0,"3,525,509,000.0000","2,058.3400","54,130,649,000.0000",63354.0,,64.5179,152.8304,中央国有企业,25.0,000039,2010-12-31,N,000039,2010-12-31,1,5
32,000040,东旭蓝天,公用事业,12.0,4.0,8.0,"张育新,陈昌华,李联添,尤明天",14.0,"112,342,095.1300",992.8400,"2,283,416,351.0600",2956.0,,61.3091,11.5532,公众企业,19.8,000040,2010-12-31,N,000040,2010-12-31,1,7
33,000042,中洲控股,房地产,9.0,3.0,6.0,"邓伟时,楼锡锋,熊军",7.0,"109,156,142.1600",689.5200,"6,789,912,512.6000",1260.0,,64.8746,-29.0771,地方国有企业,29.75,000042,2010-12-31,,000042,2010-12-31,1,4
34,000045,深纺织A,电子,9.0,3.0,6.0,"周美容,李炜,王军昭",8.0,"59,116,524.7300",526.7000,"1,655,422,298.4100",890.0,,18.6933,30.6774,地方国有企业,54.27,000045,2010-12-31,N,000045,2010-12-31,1,3
35,000046,泛海控股,非银金融,14.0,5.0,9.0,"兰立鹏,卢志壮,余政,李强,赵英伟,何云燕",11.0,"204,876,975.8700","1,167.0400","22,345,892,750.9100",2450.0,,62.6553,-31.6882,民营企业,73.67,000046,2010-12-31,N,000046,2010-12-31,1,6
36,000048,京基智农,农林牧渔,11.0,4.0,7.0,"刘健,郝耀聪,黄樯,何光明,陈俊雄",5.0,"77,160,306.0200",305.8000,"769,250,354.3900",1420.0,,106.3076,-19.0455,民营企业,26.36,000048,2010-12-31,Y,000048,2010-12-31,1,3
37,000049,德赛电池,电子,9.0,3.0,6.0,"夏志武,李猛飞,丁春平",4.0,"145,802,132.8800",285.7600,"850,322,005.6300",4193.0,,67.2747,43.6244,地方国有企业,48.65,000049,2010-12-31,N,000049,2010-12-31,1,6
38,000050,深天马A,电子,9.0,3.0,6.0,"李刚,盛帆,罗祥典,陈宏良,赵军",9.0,"369,361,575.0000",612.9000,"7,971,514,291.0000",7474.0,,68.7552,57.6943,中央国有企业,45.62,000050,2010-12-31,N,000050,2010-12-31,1,7
39,000055,方大集团,建筑装饰,7.0,3.0,4.0,"郑华,于国安,宋文清",5.0,"80,446,172.2300",350.6400,"1,991,161,158.8400",2289.0,,45.0407,27.2683,民营企业,9.09,000055,2010-12-31,Y,000055,2010-12-31,1,1
40,000056,皇庭国际,房地产,8.0,3.0,5.0,"张心亮,叶华,刘晓红",6.0,"17,577,001.2200",265.9100,"1,540,732,957.6500",290.0,,109.7388,-19.3090,民营企业,13.7,000056,2010-12-31,N,000056,2010-12-31,1,5
41,000058,深赛格,商业贸易,9.0,3.0,6.0,"徐海松,赵兴学,田继梁,唐崇银,应华东",5.0,"50,401,323.9500",265.8700,"1,466,272,625.9200",404.0,,19.9613,35.4499,地方国有企业,30.24,000058,2010-12-31,N,000058,2010-12-31,1,6
42,000059,华锦股份,化工,9.0,3.0,6.0,"吕庆刚,王利人,徐洪满,陈军,王久洲",6.0,"505,838,005.8200",179.4800,"26,536,417,786.0300",8924.0,,75.0634,729.2267,中央国有企业,51.14,000059,2010-12-31,N,000059,2010-12-31,1,3
43,000060,中金岭南,有色金属,11.0,4.0,7.0,"何勇,黎锦坤,张伟健,姚锐红,李志文",9.0,"1,191,064,771.0700","1,928.0200","14,570,879,433.7000",10664.0,,61.3800,27.4070,地方国有企业,31.73,000060,2010-12-31,N,000060,2010-12-31,1,6
44,000061,农产品,商业贸易,13.0,5.0,8.0,"刘岁义,周润国,高巍,林映文,王道海",11.0,"247,602,858.0000",644.8600,"9,112,759,008.2700",5964.0,,58.5435,10.0217,地方国有企业,21.52,000061,2010-12-31,N,000061,2010-12-31,1,4
45,000062,深圳华强,电子,9.0,3.0,6.0,"阎志亮,刘红,陈辉军,郑毅",5.0,"50,067,443.6500",123.5000,"3,826,243,933.6600",1026.0,,53.1336,-79.6628,民营企业,74.96,000062,2010-12-31,N,000062,2010-12-31,1,7
46,000063,中兴通讯,通信,14.0,5.0,9.0,"张太峰,何雪梅,周会东,许维艳,王雁",19.0,"9,678,857,000.0000","3,339.8000","84,152,357,000.0000",85232.0,,70.3371,16.5769,公众企业,32.45,000063,2010-12-31,N,000063,2010-12-31,1,1
47,000065,北方国际,建筑装饰,9.0,3.0,6.0,"翟斌,盛亚军,李清海",6.0,"48,195,744.1000",338.0000,"1,953,165,292.9900",225.0,,70.6491,-2.3977,中央国有企业,54.41,000065,2010-12-31,N,000065,2010-12-31,1,5
48,000066,中国长城,计算机,9.0,3.0,6.0,"马跃,杨昕光,张家干",8.0,"2,436,311,646.6800",514.2000,"33,380,475,422.9500",4941.0,,67.4115,268.0321,中央国有企业,53.92,000066,2010-12-31,N,000066,2010-12-31,1,2
49,000068,华控赛格,公用事业,9.0,3.0,6.0,"徐海松,赵兴学,李力夫,甄元石",4.0,"28,967,665.6700",144.8500,"437,401,642.3200",133.0,,38.7955,-87.1989,地方国有企业,22.45,000068,2010-12-31,N,000068,2010-12-31,1,7
50,000069,华侨城A,房地产,10.0,5.0,5.0,"郭金,苏征,叶向阳",9.0,"859,019,925.9300",344.1000,"48,538,233,403.4400",19337.0,,69.6934,58.0518,中央国有企业,56.36,000069,2010-12-31,N,000069,2010-12-31,1,6
51,000070,特发信息,通信,11.0,4.0,7.0,"苗苒,李彬学,刘海波",9.0,"81,221,043.3800",467.8500,"1,596,350,046.7200",1371.0,,45.4388,22.1102,地方国有企业,49.14,000070,2010-12-31,N,000070,2010-12-31,1,5
52,000078,海王生物,医药生物,11.0,4.0,7.0,"聂志华,陆勇,冯汉林",7.0,"142,259,527.2200",337.7300,"4,147,788,796.7500",3484.0,,78.2385,47.5642,外资企业,27.66,000078,2010-12-31,N,000078,2010-12-31,1,4
53,000088,盐田港,交通运输,9.0,3.0,6.0,"王维柏,庞勇,张永进",7.0,"75,764,473.2700",384.6900,"4,975,276,391.9600",684.0,,7.8657,3.8649,地方国有企业,67.37,000088,2010-12-31,N,000088,2010-12-31,1,8
54,000089,深圳机场,交通运输,9.0,3.0,6.0,"赵青萍,应学民,吴建飞",10.0,"406,473,745.7200",536.4900,"6,536,070,906.8600",4153.0,,10.4214,14.2387,地方国有企业,61.36,000089,2010-12-31,N,000089,2010-12-31,1,5
55,000090,天健集团,房地产,7.0,3.0,4.0,"赵宁,黄一格,陈阳升,王成美,谢涛",5.0,"202,758,190.9400",200.8500,"10,160,244,762.0000",1062.0,,53.9683,33.0015,地方国有企业,36.35,000090,2010-12-31,N,000090,2010-12-31,1,5
56,000096,广聚能源,化工,11.0,4.0,7.0,"刘光伟,林国才,李叶文",6.0,"65,841,317.8100",723.4800,"1,873,833,458.0000",691.0,,7.9303,48.9295,地方国有企业,57.61,000096,2010-12-31,N,000096,2010-12-31,1,5
57,000099,中信海直,交通运输,15.0,5.0,10.0,"宁志和,李培良,马雷",8.0,"169,458,013.5200",975.5800,"2,516,411,724.8000",839.0,,35.6164,8.8697,中央国有企业,46.65,000099,2010-12-31,N,000099,2010-12-31,1,8
58,000100,TCL科技,电子,11.0,4.0,7.0,"杨杏华,米新滨,卓碧强",13.0,"2,864,226,139.0000","2,108.2300","53,478,059,361.0000",51673.0,,66.1685,17.0396,公众企业,9.8,000100,2010-12-31,Y,000100,2010-12-31,1,4
59,000150,宜华健康,医药生物,7.0,3.0,4.0,"黄木伟,陈洛涛,唐耀麟",5.0,"5,754,081.3700",98.0000,"1,031,417,431.9600",140.0,,28.5637,-78.2278,民营企业,48.48,000150,2010-12-31,N,000150,2010-12-31,1,1
60,000151,中成股份,商业贸易,9.0,3.0,6.0,"万启祥,刘永生,李兴元",6.0,"51,423,012.5000",288.5200,"1,088,238,756.1800",291.0,,19.0006,32.5570,中央国有企业,48.09,000151,2010-12-31,N,000151,2010-12-31,1,4
61,000153,丰原药业,医药生物,9.0,3.0,6.0,"盛太奎,张明祥,张玉萍",10.0,"152,293,193.6900",284.6000,"1,275,831,031.2600",4908.0,,40.9160,12.3979,地方国有企业,14.75,000153,2010-12-31,N,000153,2010-12-31,1,4
62,000155,川能动力,公用事业,5.0,2.0,3.0,"王玉,傅若雪,王国军",9.0,"405,790,227.1100",184.4000,"3,377,951,622.2400",4891.0,,49.5575,-10.9070,地方国有企业,63.49,000155,2010-12-31,N,000155,2010-12-31,1,1
63,000156,华数传媒,传媒,9.0,3.0,6.0,"戴敬波,鲁建,高静",4.0,"28,796,368.7800",99.6000,"297,489,769.2000",659.0,,200.3019,16.1659,民营企业,14.97,000156,2010-12-31,N,000156,2010-12-31,1,0
64,000157,中联重科,机械设备,7.0,4.0,3.0,"曹永刚,刘驰,罗安平",20.0,"1,937,948,492.6700","2,398.5000","62,995,275,498.0900",22356.0,,56.3865,55.0545,地方国有企业,16.77,000157,2010-12-31,Y,000157,2010-12-31,1,2
65,000158,常山北明,计算机,9.0,3.0,6.0,"赵凯,王卫国,邵光毅",7.0,"356,428,748.2100",60.1800,"4,742,241,285.2200",17951.0,,49.9430,19.5387,地方国有企业,48.06,000158,2010-12-31,N,000158,2010-12-31,1,2
66,000159,国际实业,化工,9.0,3.0,6.0,"刘健翔,张彦夫,郭光炜,李恒,韩召海",6.0,"86,535,182.2300","1,659.2600","3,244,591,268.1900",536.0,,46.7699,44.3323,民营企业,33.32,000159,2010-12-31,N,000159,2010-12-31,1,2
67,000301,东方盛虹,化工,9.0,4.0,5.0,"申金元,徐兴祥,王宁,吴木泉,陈国琴,吴敏连",5.0,"57,664,056.6100",254.3700,"3,742,525,147.6100",619.0,,31.9968,23.3287,地方国有企业,36.69,000301,2010-12-31,N,000301,2010-12-31,1,4
68,000338,潍柴动力,汽车,18.0,6.0,12.0,"孙承平,蒋建芳,丁迎东",13.0,"2,388,039,526.1200","1,819.1700","52,159,850,642.1300",38174.0,,55.1952,78.1259,地方国有企业,24.15,000338,2010-12-31,Y,000338,2010-12-31,1,2
69,000400,许继电气,电气设备,9.0,3.0,6.0,"包伟,欧阳俊,郑东晖,李德章,张森",10.0,"352,442,098.2100",333.1800,"5,754,829,995.4100",6054.0,,52.0769,26.8430,中央国有企业,29.9,000400,2010-12-31,N,000400,2010-12-31,1,8
70,000401,冀东水泥,建筑材料,9.0,3.0,6.0,"赵阳,王贵福,周小丽",10.0,"637,688,345.8100",669.0100,"30,252,312,683.5500",15794.0,,69.2911,58.2867,地方国有企业,41.42,000401,2010-12-31,N,000401,2010-12-31,1,2
71,000402,金融街,房地产,9.0,3.0,6.0,"宋和珍,齐占军,王毅文",9.0,"303,663,903.3600","2,066.0000","54,168,114,471.4200",1781.0,,68.1675,30.1503,地方国有企业,26.55,000402,2010-12-31,N,000402,2010-12-31,1,1
72,000403,派林生物,医药生物,8.0,3.0,5.0,"宁保安,马彦平,刘民志,郭晋升,史振太",5.0,"49,080,997.0200",180.4300,"925,413,645.1600",972.0,,70.3921,17.1197,民营企业,29.11,000403,2010-12-31,Y,000403,2010-12-31,1,4
73,000404,长虹华意,家用电器,9.0,3.0,6.0,"费敏英,赵立国,查春霞",7.0,"242,760,848.5100",127.2600,"3,592,170,311.4400",6146.0,,75.2424,41.8120,地方国有企业,29.92,000404,2010-12-31,N,000404,2010-12-31,1,5
74,000407,胜利股份,公用事业,11.0,6.0,5.0,"张忠,毕建华,张仲力,帅重庆,董爱平",6.0,"102,444,746.9300",728.2800,"3,114,748,532.1300",1653.0,,53.2500,47.4382,民营企业,9.23,000407,2010-12-31,,000407,2010-12-31,1,0
75,000408,藏格矿业,化工,9.0,3.0,6.0,"王济贤,赵平安,冯颖",5.0,"14,451,747.3600",133.6300,"440,975,884.1300",1824.0,,62.6710,56.8821,民营企业,22.78,000408,2010-12-31,N,000408,2010-12-31,1,1
76,000409,云鼎科技,综合,9.0,3.0,6.0,"费心,李兰周,严加德",5.0,"1,112,413.0000",68.9000,"48,200,667.0900",9.0,,25.0909,24.4419,地方国有企业,26.78,000409,2010-12-31,N,000409,2010-12-31,1,7
77,000410,ST沈机,机械设备,9.0,3.0,6.0,"阎世文,高新刚,张之中,陈新海,唐华",8.0,"981,739,614.9400",493.8000,"10,482,712,947.7600",13830.0,,85.2209,32.6216,地方国有企业,42.27,000410,2010-12-31,N,000410,2010-12-31,1,5
78,000411,英特集团,医药生物,9.0,3.0,6.0,"陈波良,高健,滕伟宏,张华,李小萍",4.0,"88,147,191.9600",240.6400,"2,465,998,116.8400",934.0,,81.4150,30.7485,中央国有企业,21.35,000411,2010-12-31,N,000411,2010-12-31,1,8
79,000413,东旭光电,电子,7.0,3.0,4.0,"樊振平,黄志纯,姜乐泽,范涛,谢孟雄",5.0,"15,008,669.6700",33.1700,"374,874,767.4600",565.0,,36.3774,26.3007,地方国有企业,28.93,000413,2010-12-31,N,000413,2010-12-31,1,5
80,000415,渤海租赁,非银金融,7.0,3.0,4.0,"金平,唐乾山,李红",4.0,"44,650,646.4500",70.4300,"1,281,802,122.6000",904.0,,78.2727,25.6380,民营企业,10.99,000415,2010-12-31,Y,000415,2010-12-31,1,0
81,000416,民生控股,非银金融,9.0,3.0,6.0,"任江岩,庞建华,兰立鹏,刘庚",4.0,"21,397,689.4400",231.9000,"992,436,394.7300",61.0,,23.2765,12.5307,民营企业,22.56,000416,2010-12-31,N,000416,2010-12-31,1,0
82,000417,合肥百货,商业贸易,11.0,4.0,7.0,"黄颢,胡丛,许兰",9.0,"255,260,278.5200",355.0300,"4,473,527,463.1500",7762.0,,63.0959,19.9865,地方国有企业,23.99,000417,2010-12-31,Y,000417,2010-12-31,1,3
83,000419,通程控股,商业贸易,8.0,3.0,5.0,"章棉水,舒适广,张宏伟,陶青,彭小兰",4.0,"151,724,982.8700",206.0000,"3,187,364,471.2500",5094.0,,71.8966,35.4961,地方国有企业,44.78,000419,2010-12-31,Y,000419,2010-12-31,1,0
84,000420,吉林化纤,化工,10.0,3.0,7.0,"陈敏,张宝忠,姜岩峰,王玉林,徐英彪",5.0,"277,241,353.2000",40.0100,"2,916,262,627.6900",4426.0,,68.6778,26.4955,地方国有企业,21.26,000420,2010-12-31,N,000420,2010-12-31,1,7
85,000421,南京公用,公用事业,8.0,3.0,5.0,"方国,匡导球,翟照磊,杨光明,屈兰宁",7.0,"347,623,673.5600",232.1600,"2,978,085,691.5800",4231.0,,63.6461,11.3433,地方国有企业,30.06,000421,2010-12-31,N,000421,2010-12-31,1,5
86,000422,湖北宜化,化工,11.0,4.0,7.0,"张宇红,许本华,夏芸,白梅,彭志刚",9.0,"355,675,358.5200",683.7000,"18,745,813,518.2000",3275.0,,72.4969,31.7824,地方国有企业,16.41,000422,2010-12-31,N,000422,2010-12-31,1,4
87,000423,东阿阿胶,医药生物,9.0,3.0,6.0,"刘广立,李均,邹兰,臧绪岱,刘振华",9.0,"197,915,971.6200",259.1400,"3,597,719,335.3800",5420.0,,21.6900,17.8778,中央国有企业,23.14,000423,2010-12-31,N,000423,2010-12-31,1,6
88,000425,徐工机械,机械设备,9.0,3.0,6.0,"李格,刘建梅,刘庆东,赵成彦,张守航,魏恒,徐筱慧",8.0,"1,172,964,537.5500","1,883.0000","24,801,122,459.1300",13059.0,,51.3903,21.8117,地方国有企业,49.2,000425,2010-12-31,Y,000425,2010-12-31,1,0
89,000426,兴业矿业,有色金属,9.0,3.0,6.0,"徐瑞,张国兴,呼和",5.0,"44,245,732.0100",79.7000,"1,625,827,672.7700",385.0,,30.2007,22.7057,地方国有企业,45.1,000426,2010-12-31,Y,000426,2010-12-31,1,0
90,000428,华天酒店,休闲服务,9.0,3.0,6.0,"袁翠玲,李萱,刘纪任,潘小青,吴冰颖",5.0,"218,571,790.9200",124.3800,"4,559,850,681.9800",7728.0,,65.9250,8.1149,地方国有企业,45.43,000428,2010-12-31,N,000428,2010-12-31,1,8
91,000429,粤高速A,交通运输,11.0,4.0,7.0,"陈楚宣,杨晓华,涂慧玲,李梅,邹慧明",9.0,"143,537,459.3300",472.4000,"10,526,464,082.2500",1433.0,,54.4009,6.9739,地方国有企业,40.83,000429,2010-12-31,N,000429,2010-12-31,1,0
92,000430,张家界,休闲服务,9.0,3.0,6.0,"熊新春,刘青山,刘世星",4.0,"18,072,680.3100",114.9200,"255,074,525.2900",361.0,,103.7456,5.0844,地方国有企业,20.41,000430,2010-12-31,N,000430,2010-12-31,1,4
93,000488,晨鸣纸业,轻工制造,15.0,5.0,10.0,"王菊,高俊杰,杨洪芹,郭光耀,尹启祥",13.0,"858,757,675.0500","2,525.6400","35,077,132,129.9800",17679.0,,56.4953,15.5764,地方国有企业,18.91,000488,2010-12-31,Y,000488,2010-12-31,1,0
